Ministry,Revenue_Cr,Capital_Cr,Total_Cr,Year,Grand_Total_Cr,Share_of_Budget_Pct
"Environment, Forests & CC",2942.45,157.55,3100.0,2020-21,3042230.09,0.1
"Environment, Forests & CC",2747.45,122.48,2869.93,2021-22,3483235.63,0.08
"Environment, Forests & CC",2915.0,115.0,3030.0,2022-23,3944908.67,0.08
"Environment, Forests & CC",2934.02,145.38,3079.4,2023-24,4503097.45,0.07
"Environment, Forests & CC",3237.12,93.25,3330.37,2024-25,4820512.08,0.07
"Environment, Forests & CC",3276.82,136.0,3412.82,2025-26,5065345.04,0.07
"Environment, Forests & CC",3536.66,222.8,3759.46,2026-27,5347314.81,0.07
External Affairs,12648.29,2150.26,14798.55,2017-18,2146734.78,0.69
External Affairs,13374.5,1636.5,15011.0,2018-19,2442213.3,0.61
External Affairs,16511.23,1373.55,17884.78,2019-20,2786349.45,0.64
External Affairs,16014.43,1332.28,17346.71,2020-21,3042230.09,0.57
External Affairs,16663.98,1490.75,18154.73,2021-22,3483235.63,0.52
External Affairs,15833.77,1416.23,17250.0,2022-23,3944908.67,0.44
External Affairs,16529.79,1520.21,18050.0,2023-24,4503097.45,0.4
External Affairs,20479.49,1675.18,22154.67,2024-25,4820512.08,0.46
External Affairs,19519.73,996.88,20516.61,2025-26,5065345.04,0.41
External Affairs,20706.2,1412.77,22118.97,2026-27,5347314.81,0.41
Finance,699102.99,41066.0,740168.99,2017-18,2146734.78,34.48
Finance,874818.17,19888.65,894706.82,2018-19,2442213.3,36.64
Finance,982823.27,23161.81,1005985.08,2019-20,2786349.45,36.1
Finance,1122911.74,46025.6,1168937.34,2020-21,3042230.09,38.42
Finance,1289857.68,96415.62,1386273.3,2021-22,3483235.63,39.8
Finance,1412403.79,126375.66,1538779.45,2022-23,3944908.67,39.01
Finance,1543366.57,146352.6,1689719.17,2023-24,4503097.45,37.52
Finance,1625137.77,233020.75,1858158.52,2024-25,4820512.08,38.55
Finance,1717466.84,221534.42,1939001.26,2025-26,5065345.04,38.28
Finance,1722326.88,250182.6,1972509.48,2026-27,5347314.81,36.89
"Fisheries, AH & Dairying",3681.19,55.81,3737.0,2019-20,2786349.45,0.13
"Fisheries, AH & Dairying",4048.26,65.87,4114.13,2020-21,3042230.09,0.14
"Fisheries, AH & Dairying",4249.75,73.07,4322.82,2021-22,3483235.63,0.12
"Fisheries, AH & Dairying",5956.7,80.61,6037.31,2022-23,3944908.67,0.15
"Fisheries, AH & Dairying",6517.46,59.16,6576.62,2023-24,4503097.45,0.15
"Fisheries, AH & Dairying",6881.01,256.67,7137.68,2024-25,4820512.08,0.15
"Fisheries, AH & Dairying",6935.5,608.57,7544.07,2025-26,5065345.04,0.15
"Fisheries, AH & Dairying",8438.22,477.04,8915.26,2026-27,5347314.81,0.17
Food Processing Industries,800.0,0.0,800.0,2017-18,2146734.78,0.04
Food Processing Industries,1400.0,0.0,1400.0,2018-19,2442213.3,0.06
Food Processing Industries,1196.6,0.0,1196.6,2019-20,2786349.45,0.04
Food Processing Industries,1232.94,0.0,1232.94,2020-21,3042230.09,0.04
Food Processing Industries,1308.66,0.0,1308.66,2021-22,3483235.63,0.04
Food Processing Industries,2941.99,0.0,2941.99,2022-23,3944908.67,0.07
Food Processing Industries,3285.19,2.46,3287.65,2023-24,4503097.45,0.07
Food Processing Industries,3287.46,2.54,3290.0,2024-25,4820512.08,0.07
Food Processing Industries,4361.58,2.64,4364.22,2025-26,5065345.04,0.09
Food Processing Industries,4061.43,2.73,4064.16,2026-27,5347314.81,0.08
Health & Family Welfare,45343.7,3508.81,48852.51,2017-18,2146734.78,2.28
Health & Family Welfare,51879.6,2720.4,54600.0,2018-19,2442213.3,2.24
Health & Family Welfare,62808.22,1750.9,64559.12,2019-20,2786349.45,2.32
Health & Family Welfare,66046.1,1065.7,67111.8,2020-21,3042230.09,2.21
Health & Family Welfare,71423.03,2508.74,73931.77,2021-22,3483235.63,2.12
Health & Family Welfare,80568.08,5632.57,86200.65,2022-23,3944908.67,2.19
Health & Family Welfare,83853.86,5301.14,89155.0,2023-24,4503097.45,1.98
Health & Family Welfare,87345.48,3613.15,90958.63,2024-25,4820512.08,1.89
Health & Family Welfare,96232.86,3625.7,99858.56,2025-26,5065345.04,1.97
Health & Family Welfare,103600.31,2930.11,106530.42,2026-27,5347314.81,1.99
Heavy Industries,1004.37,1615.01,2619.38,2017-18,2146734.78,0.12
Heavy Industries,759.68,386.49,1146.17,2018-19,2442213.3,0.05
Heavy Industries,1003.38,386.26,1389.64,2019-20,2786349.45,0.05
Heavy Industries,954.5,559.63,1514.13,2020-21,3042230.09,0.05
Heavy Industries,949.66,67.42,1017.08,2021-22,3483235.63,0.03
Heavy Industries,3213.79,92.21,3306.0,2022-23,3944908.67,0.08
Heavy Industries,6145.32,26.31,6171.63,2023-24,4503097.45,0.14
Heavy Industries,7240.2,1.8,7242.0,2024-25,4820512.08,0.15
Heavy Industries,7178.23,502.0,7680.23,2025-26,5065345.04,0.15
Heavy Industries,7937.08,2.82,7939.9,2026-27,5347314.81,0.15
Home Affairs,83945.43,13241.74,97187.17,2017-18,2146734.78,4.53
Home Affairs,94358.06,13214.73,107572.79,2018-19,2442213.3,4.4
Home Affairs,105934.71,13090.57,119025.28,2019-20,2786349.45,4.27
Home Affairs,151464.9,15785.43,167250.33,2020-21,3042230.09,5.5
Home Affairs,150622.34,15924.6,166546.94,2021-22,3483235.63,4.78
Home Affairs,169023.33,16753.22,185776.55,2022-23,3944908.67,4.71
Home Affairs,178016.18,18018.76,196034.94,2023-24,4503097.45,4.35
Home Affairs,200208.8,19434.51,219643.31,2024-25,4820512.08,4.56
Home Affairs,210799.27,22411.41,233210.68,2025-26,5065345.04,4.6
Home Affairs,228146.77,27086.76,255233.53,2026-27,5347314.81,4.77
Housing & Urban Affairs,6406.0,0.0,6406.0,2017-18,2146734.78,0.3
Housing & Urban Affairs,25349.73,16415.4,41765.13,2018-19,2442213.3,1.71
Housing & Urban Affairs,28487.84,19544.33,48032.17,2019-20,2786349.45,1.72
Housing & Urban Affairs,28890.89,21149.01,50039.9,2020-21,3042230.09,1.64
Housing & Urban Affairs,28821.99,25759.01,54581.0,2021-22,3483235.63,1.57
Housing & Urban Affairs,49208.45,27341.01,76549.46,2022-23,3944908.67,1.94
Housing & Urban Affairs,50434.33,25997.27,76431.6,2023-24,4503097.45,1.7
Housing & Urban Affairs,53948.31,28628.26,82576.57,2024-25,4820512.08,1.71
Housing & Urban Affairs,59153.62,37623.38,96777.0,2025-26,5065345.04,1.91
